Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
PIIG-VT,29,31,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,13.0,1.52,,21.4,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.4,-3.59,0.00082,0.00057,-41.38,,0.0011,0.00074,23.1,,0.00082,
PIIG-p,27,32,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)ccc32)c2ccccc21,72.0,1.25,,20.88,TG/BC,20.0,1000.0,50.0,CYTOP,380.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.56,-3.59,0.013,0.011,-28.67,,,,,,0.013,
PIIG-T,28,33,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,34.0,2.69,3.63,19.57,TG/BC,20.0,1000.0,50.0,CYTOP,380.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.37,-3.59,0.86,0.67,-41.01,,0.012,0.0093,58.6,,0.86,
PIIG-VT,29,34,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,13.0,1.52,,21.4,TG/BC,20.0,1000.0,50.0,CYTOP,380.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.4,-3.59,0.012,0.014,-35.33,,0.00056,0.00049,14.6,,0.012,
PTIIG-Np,30,35,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,3.55,23.6,TG/BC,20.0,1000.0,50.0,PMMA,500.0,6.2,Ni/Au,Al,"Spin coating - annealing",80.0,TCB,2000.0,Nitrogen,p,-5.12,-3.48,0.48,0.22,-53.5,,0.013,0.0098,60.5,,0.48,
PTIIG-Np,30,36,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,3.57,23.7,TG/BC,20.0,1000.0,50.0,PMMA,500.0,6.2,Ni/Au,Al,"Spin coating - annealing",150.0,TCB,2000.0,Nitrogen,p,-5.12,-3.48,0.86,0.43,-54.5,,0.019,0.015,61.0,,0.86,
PTIIG-Np,30,37,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,3.61,23.8,TG/BC,20.0,1000.0,50.0,PMMA,500.0,6.2,Ni/Au,Al,"Spin coating - annealing",200.0,TCB,2000.0,Nitrogen,p,-5.12,-3.48,2.5,1.6,-63.0,,0.03,0.019,63.0,,2.5,
PTIIG-Np,30,38,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,3.63,24.0,TG/BC,20.0,1000.0,50.0,PMMA,500.0,6.2,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,2000.0,Nitrogen,p,-5.12,-3.48,2.4,1.6,-66.5,,0.055,0.042,61.5,,2.4,
PTIIG-Np,30,39,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,3.63,24.0,TG/BC,20.0,1000.0,50.0,PMMA,500.0,6.2,Ni/Au,Al,"Spin coating - annealing",310.0,TCB,2000.0,Nitrogen,p,-5.12,-3.48,5.8,4.9,-77.5,,0.092,0.057,69.5,,5.8,
PTIIG-Np,30,40,2014,10.1021/ja504537v,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)sc32)c2sccc21,21.0,4.87,,,TG/BC,20.0,1000.0,50.0,PMMA,600.0,15.5,Ni/Au,Al,"Spin coating - annealing",310.0,TCB,4000.0,Nitrogen,p,-5.12,-3.48,14.4,12.0,-46.5,,,,,,14.4,
PTIG-co-TT,31,41,2015,10.1039/C4TC02355B,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,90.6,2.92,3.43,21.82,BG/BC,10.0,5000.0,500.0,OTS-modified SiO2,200.0,,Au,Si,Spin coating,,TCB,,Nitrogen,p,-5.15,-4.2,0.12,0.1,-0.6,170000,,,,,0.12,
PTIG-co-TT,31,42,2015,10.1039/C4TC02355B,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,90.6,2.92,3.43,21.82,BG/BC,10.0,5000.0,500.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",100.0,TCB,,Nitrogen,p,-5.15,-4.2,0.18,0.14,0.1,130000,,,,,0.18,
PTIG-co-TT,31,43,2015,10.1039/C4TC02355B,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,90.6,2.92,3.43,21.82,BG/BC,10.0,5000.0,500.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",200.0,TCB,,Nitrogen,p,-5.15,-4.2,0.23,0.21,-0.5,200000,,,,,0.23,
PTIG-co-TT,31,44,2015,10.1039/C4TC02355B,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,90.6,2.92,3.43,21.82,BG/BC,20.0,10000.0,500.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",200.0,TCB,,Nitrogen,p,-5.15,-4.2,0.69,0.59,1.5,64000,,,,,0.69,
PTIG-co-TT,31,45,2015,10.1039/C4TC02355B,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,90.6,2.92,3.43,21.82,BG/BC,10.0,5000.0,500.0,OTS-modified SiO2,200.0,,Au,Si,"Spin coating - annealing",300.0,TCB,,Nitrogen,p,-5.15,-4.2,0.14,0.13,-1.6,200000,,,,,0.14,
PTIIG-TT,32,46,2016,10.1039/C6TC03693G,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,12.1,2.04,3.6,22.1,BG/TC,50.0,875.0,17.5,OTS-modified SiO2,300.0,10.0,Au,Si,Solution shearing,,o-DCB,,Nitrogen,p,-4.84,-3.46,0.11,0.11,17.8,>10000,,,,,0.11,
PTIIG-TT,32,47,2016,10.1039/C6TC03693G,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,12.1,2.04,,,BG/TC,50.0,875.0,17.5,OTS-modified SiO2,300.0,10.0,Au,Si,Solution shearing-annealing,260.0,o-DCB,,Nitrogen,p,-4.84,-3.46,0.33,0.31,8.0,>1000,,,,,0.33,
PTIIG-TT,32,48,2016,10.1039/C6TC03693G,Journal of Materials Chemistry C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)sc32)c2sccc21,12.1,2.04,3.61,21.4,BG/TC,50.0,875.0,17.5,OTS-modified SiO2,300.0,10.0,Au,Si,Solution shearing-annealing,300.0,o-DCB,,Nitrogen,p,-4.84,-3.46,0.39,0.36,6.2,>1000,,,,,0.39,
